,Diesase_Name,overview,symptoms_elements,symptoms_paragraph
904,Median arcuate ligament syndrome (MALS),Median arcuate ligament syndrome (MALS) occurs when the arc-shaped band of tissue in the chest area (median arcuate ligament) presses on the artery that sends blood to the upper abdomen. The artery is called the celiac artery. MALS can cause stomach pain in some people.,"Pain in the upper middle stomach area, which may go away when leaning forwardStomach pain after eating, exercising or changing body positionBloatingDiarrheaFear of eating food due to pain, leading to significant weight loss — usually greater than 20 pounds (9.1 kilograms)Nausea and vomiting","Often, compression of the celiac artery doesn't cause any symptoms."
905,Medication overuse headaches,"Medication overuse headaches — also known as rebound headaches — are caused by the long-term use of medicines to treat headaches such as migraines. Pain relievers offer relief for occasional headaches. But if you take them more than a couple of days a week, they may trigger headaches.",Occur every day or nearly every day. They often wake you in the early morning.Improve with pain medicine but then return as the medicine wears off.,Symptoms of medication overuse headaches may vary. They can depend on the type of headache being treated and the medicine used. Medication overuse headaches tend to:
906,Medulloblastoma,,,
907,Melanoma,Melanoma is a form of skin cancer that begins in the cells (melanocytes) that control the pigment in your skin. This illustration shows melanoma cells extending from the surface of the skin into the deeper skin layers.,A change in an existing moleThe development of a new pigmented or unusual-looking growth on your skin,"Moles are usually harmless. They may contain hairs or become raised or wrinkled. Talk to your doctor about any change in the color or size of a mole or if itching, pain, bleeding or inflammation develops."
908,Eye melanoma,"Eye melanoma most often affects the middle layer of your eye (uvea). Parts of your eye's uvea that can develop melanoma include the colored portion of your eye (iris), the muscle fibers around your eye's lens (ciliary body), and the layer of blood vessels that lines the back of your eye (choroid).",A sensation of flashes or specks of dust in your vision (floaters)A growing dark spot on the irisA change in the shape of the dark circle (pupil) at the center of your eyePoor or blurry vision in one eyeLoss of peripheral vision,"Eye melanoma may not cause signs and symptoms. When they do occur, signs and symptoms of eye melanoma can include:"
909,"Multiple endocrine neoplasia, type 2 (MEN 2)","Multiple endocrine neoplasia, type 2, also called MEN 2, is a rare condition. It causes tumors in the thyroid and parathyroid glands, adrenal glands, lips, mouth, eyes and digestive tract. Genetic testing can find the changed gene that causes MEN 2. Health care providers can treat the health issues that gene may cause.",Lumps in the throat or neckTrouble breathing or swallowingHoarsenessDiarrhea,"People with MEN 2B have tumors of nerves in the lips, mouth, eyes and digestive tract. They also may have a tumor on the adrenal gland, called pheochromocytoma, and medullary thyroid cancer."
910,Meniere's disease,"Meniere's disease is an inner ear problem that can cause dizzy spells, also called vertigo, and hearing loss. Most of the time, Meniere's disease affects only one ear.","Regular dizzy spells.You have a spinning feeling that starts and stops suddenly. Vertigo may start without warning. It usually lasts 20 minutes to 12 hours, but not more than 24 hours. Serious vertigo can cause nausea.Hearing loss.Hearing loss in Meniere's disease may come and go, especially early on. Over time, hearing loss can be long-lasting and not get better.Ringing in the ear.Ringing in the ear is called tinnitus. Tinnitus is the term for when you have a ringing, buzzing, roaring, whistling or hissing sound in your ear.Feeling of fullness in the ear.People with Meniere's disease often feel pressure in the ear. This is called aural fullness.",Symptoms of Meniere's disease include:
911,Meningioma,"Three layers of membranes known as meninges protect the brain and spinal cord. The delicate inner layer is the pia mater. The middle layer is the arachnoid, a web-like structure filled with fluid that cushions the brain. The tough outer layer is called the dura mater.","Changes in vision, such as seeing double or blurrinessHeadaches, especially those that are worse in the morningHearing loss or ringing in the earsMemory lossLoss of smellSeizuresWeakness in your arms or legsLanguage difficulty","Signs and symptoms of a meningioma typically begin gradually and may be very subtle at first. Depending on where in the brain or, rarely, spine the tumor is situated, signs and symptoms may include:"
912,Meningitis,Meningitis is an infection and inflammation of the fluid and membranes surrounding the brain and spinal cord. These membranes are called meninges.,"Sudden high fever.Stiff neck.Severe headache.Nausea or vomiting.Confusion or trouble concentrating.Seizures.Sleepiness or trouble waking.Sensitivity to light.No appetite or thirst.Skin rash in some cases, such as in meningococcal meningitis.",Early meningitis symptoms may be similar to the flu. Symptoms may develop over several hours or over a few days.
913,Menopause,"Menopause is the time that marks the end of your menstrual cycles. It's diagnosed after you've gone 12 months without a menstrual period. Menopause can happen in your 40s or 50s, but the average age is 51 in the United States.",Irregular periodsVaginal drynessHot flashesChillsNight sweatsSleep problemsMood changesWeight gain and slowed metabolismThinning hair and dry skinLoss of breast fullness,"In the months or years leading up to menopause (perimenopause), you might experience these signs and symptoms:"
914,Menorrhagia (heavy menstrual bleeding),"Menorrhagia is the medical term for menstrual periods with abnormally heavy or prolonged bleeding. Although heavy menstrual bleeding is a common concern, most women don't experience blood loss severe enough to be defined as menorrhagia.","Soaking through one or more sanitary pads or tampons every hour for several consecutive hoursNeeding to use double sanitary protection to control your menstrual flowNeeding to wake up to change sanitary protection during the nightBleeding for longer than a weekPassing blood clots larger than a quarterRestricting daily activities due to heavy menstrual flowSymptoms of anemia, such as tiredness, fatigue or shortness of breath",Signs and symptoms of menorrhagia may include:
915,Menorrhagia (heavy menstrual bleeding),"Menorrhagia is the medical term for menstrual periods with abnormally heavy or prolonged bleeding. Although heavy menstrual bleeding is a common concern, most women don't experience blood loss severe enough to be defined as menorrhagia.","Soaking through one or more sanitary pads or tampons every hour for several consecutive hoursNeeding to use double sanitary protection to control your menstrual flowNeeding to wake up to change sanitary protection during the nightBleeding for longer than a weekPassing blood clots larger than a quarterRestricting daily activities due to heavy menstrual flowSymptoms of anemia, such as tiredness, fatigue or shortness of breath",Signs and symptoms of menorrhagia may include:
916,Mental illness,"Mental illness, also called mental health disorders, refers to a wide range of mental health conditions — disorders that affect your mood, thinking and behavior. Examples of mental illness include depression, anxiety disorders, schizophrenia, eating disorders and addictive behaviors.","Feeling sad or downConfused thinking or reduced ability to concentrateExcessive fears or worries, or extreme feelings of guiltExtreme mood changes of highs and lowsWithdrawal from friends and activitiesSignificant tiredness, low energy or problems sleepingDetachment from reality (delusions), paranoia or hallucinationsInability to cope with daily problems or stressTrouble understanding and relating to situations and to peopleProblems with alcohol or drug useMajor changes in eating habitsSex drive changesExcessive anger, hostility or violenceSuicidal thinking","Signs and symptoms of mental illness can vary, depending on the disorder, circumstances and other factors. Mental illness symptoms can affect emotions, thoughts and behaviors."
917,Meralgia paresthetica,"Meralgia paresthetica is a condition characterized by tingling, numbness and burning pain in the outer part of your thigh. The condition is caused by compression of the lateral femoral cutaneous nerve, which supplies sensation to your upper leg.",Tingling and numbnessBurning painDecreased sensationIncreased sensitivity and pain to even a light touch,Meralgia paresthetica may cause these symptoms affecting the outer (lateral) part of your thigh:
918,Merkel cell carcinoma,"Merkel cell carcinoma is a rare, aggressive skin cancer. It appears as a painless, flesh-colored or bluish-red nodule growing on your skin.","Excessive exposure to natural or artificial sunlight.Being exposed to ultraviolet light, such as the light that comes from the sun or from tanning beds, increases your risk of Merkel cell carcinoma. The majority of Merkel cell carcinomas appear on skin surfaces frequently exposed to sun.A weakened immune system.People with weakened immune systems — including those with HIV infection, those taking drugs that suppress the immune response or those with chronic leukemias — are more likely to develop Merkel cell carcinoma.History of other skin cancers.Merkel cell carcinoma is associated with the development of other skin cancers, such as basal cell or squamous cell carcinoma.Older age.Your risk of Merkel cell carcinoma increases as you age. This cancer is most common in people older than age 50, though it can occur at any age.Light skin color.Merkel cell carcinoma usually arises in people who have light-colored skin. Whites are much more likely to be affected by this skin cancer than are blacks.","The first sign of Merkel cell carcinoma is usually a fast-growing, painless nodule (tumor) on your skin. The nodule may be skin-colored or may appear in shades of red, blue or purple. Most Merkel cell carcinomas appear on the face, head or neck, but they can develop anywhere on your body, even on areas not exposed to sunlight."
919,Mesenteric ischemia,"In mesenteric ischemia, a blockage in an artery cuts off blood flow to a portion of the intestine.","Sudden, severe belly pain.Urgent need to have a bowel movement.Fever.Nausea and vomiting.",Symptoms of the acute form of mesenteric ischemia include:
920,Mesenteric lymphadenitis,The mesentery is a fold of membrane that attaches the intestine to the abdominal wall and holds it in place. Mesenteric lymphadenitis is an inflammation of the lymph nodes in the mesentery.,"Abdominal pain, often centered on the lower right side, but the pain can be more widespreadGeneral abdominal tendernessFeverMesenteric lymph node enlargement",Possible signs and symptoms of mesenteric lymphadenitis include:
921,Mesothelioma,Malignant mesothelioma (me-zoe-thee-lee-O-muh) is a type of cancer that occurs in the thin layer of tissue that covers the majority of your internal organs (mesothelium).,Chest painPainful coughingShortness of breathUnusual lumps of tissue under the skin on your chestUnexplained weight loss,Signs and symptoms of mesothelioma vary depending on where the cancer occurs.
922,Metachromatic leukodystrophy,"Metachromatic leukodystrophy is a rare hereditary (genetic) disorder that causes fatty substances (lipids) to build up in cells, particularly in the brain, spinal cord and peripheral nerves. This buildup is caused by a deficiency of an enzyme that helps break down lipids called sulfatides. The brain and nervous system progressively lose function because the substance that covers and protects the nerve cells (myelin) is damaged.","Loss of the ability to detect sensations, such as touch, pain, heat and soundLoss of intellectual, thinking and memory skillsLoss of motor skills, such as walking, moving, speaking and swallowingStiff, rigid muscles, poor muscle function and paralysisLoss of bladder and bowel functionGallbladder problemsBlindnessHearing lossSeizuresEmotional and behavioral problems, including unstable emotions and substance misuse","Damage to the protective myelin covering the nerves results in progressive worsening of brain and nervous system functions, including:"
923,Brain metastases,Brain metastases happen when cancer begins elsewhere in the body and spreads (metastasizes) to the brain.,"Headache, sometimes with vomiting or nauseaMental changes, such as increasing memory problemsSeizuresWeakness or numbness on one side of the body","Signs and symptoms caused by brain metastases can vary based on the location, size and rate of growth of the metastatic tumors."
924,Myasthenia gravis,Myasthenia gravis (my-us-THEE-nee-uh GRAY-vis) causes muscles under your voluntary control to feel weak and get tired quickly. This happens when the communication between nerves and muscles breaks down.,"Drooping of one or both eyelids, called ptosis.Double vision, called diplopia, which may be horizontal or vertical, and improves or resolves when one eye is closed.","Muscle weakness caused by myasthenia gravis gets worse when the affected muscle is used. Because symptoms usually get better with rest, muscle weakness can come and go. However, the symptoms tend to progress over time. They usually reach their worst within a few years after the disease begins."
925,Monoclonal gammopathy of undetermined significance (MGUS),Monoclonal gammopathy of undetermined significance (MGUS) is a condition in which an atypical protein is found in the blood. The protein is called monoclonal protein or M protein.,Age.The average age at diagnosis is 70 years.Race.Africans and Black Americans are more likely to getMGUSthan white people are.Sex.MGUSis more common in men.Family history.Having family members withMGUSmight increase the risk.,"People with monoclonal gammopathy often don't have symptoms. Some people have a rash or nerve problems, such as numbness or tingling. A blood test for another condition might find MGUS by chance."
926,Microscopic colitis,"The colon, also called the large intestine, is a long, tubelike organ in your abdomen. The colon carries waste to be expelled from the body.","Chronic watery diarrheaAbdominal pain, cramps or bloatingWeight lossNauseaFecal incontinenceDehydration",Signs and symptoms of microscopic colitis include:
927,Blood in urine (hematuria),"It can be scary to see blood in urine, also called hematuria. In many cases, the cause is harmless. But blood in urine also can be a sign of a serious illness.","Urinary tract infections (UTIs).These happen when bacteria get into the tube through which urine leaves the body, called the urethra. Then the bacteria multiply in the bladder.UTIscan cause bleeding that makes urine look red, pink or brown. With aUTI, you also may have a strong urge to pee that lasts a long time. You may have pain and burning while peeing. Your urine may have a very strong smell too.Kidney infection.This type ofUTIalso is called pyelonephritis.Kidney infections can happen when bacteria enter the kidneys from the bloodstream. Infections also can happen when bacteria move to the kidneys from a pair of tubes that connect the kidneys with the bladder, called the ureters. Kidney infections can cause the same urine-related symptoms that otherUTIscan. But they're more likely to cause a fever and pain in the back, side or groin.A bladder or kidney stone.The minerals in urine can form crystals on the walls of the kidneys or bladder. Over time, the crystals can become small, hard stones.The stones are often painless. But they can hurt a lot if they cause a blockage or leave the body through urine. Bladder or kidney stones can cause blood in urine that can be seen with the naked eye as well as bleeding that can be seen only in the lab.Enlarged prostate.The prostate gland is just below the bladder, and it surrounds the top part of the urethra. It often gets bigger toward middle age. It then puts pressure on the urethra, partly blocking the flow of urine. With an enlarged prostate, you might have trouble peeing, an urgent or lasting need to pee, or blood in the urine. Infection of the prostate, called prostatitis, can cause the same symptoms.Kidney disease.Blood in urine that can be seen only in the lab is a common symptom of a kidney disease called glomerulonephritis. With this disease, the tiny filters in the kidneys that remove waste from blood become inflamed.Glomerulonephritis may be part of a condition that affects the whole body, such as diabetes. Or it can happen on its own.Cancer.Blood in urine that can be seen with the naked eye may be a sign of advanced kidney, bladder or prostate cancer. These cancers might not cause symptoms sooner, when treatments could work better.Inherited illnesses.A genetic condition that affects red blood cells, called sickle cell anemia, can cause blood in urine. The blood cells could be visible or too tiny to see. A condition that damages tiny blood vessels in the kidneys, called Alport syndrome, also can cause blood in the urine.Kidney injury.A blow or other injury to the kidneys from an accident or contact sports can cause blood to show up in urine.Medicines. The anti-cancer drug cyclophosphamide (Cytoxan) and the antibiotic penicillin are linked to blood in urine. Medicines that prevent blood clots also are tied to blood in urine. These include medicines that keep blood cells called platelets from sticking together, such as the pain reliever aspirin. Medicines that thin the blood, such as heparin, also may be a cause.Hard exercise.Blood in the urine can happen after playing contact sports, such as football. It may be linked to bladder damage caused by getting hit. Blood in urine also can happen with long-distance sports, such as marathon running, but it's less clear why. It may be linked to bladder damage or other reasons that don't involve an injury. When hard exercise causes blood in urine, it may go away on its own within a week.If you see blood in your urine after exercise, don't assume it's from exercising. See your health care provider.","Blood in the urine can look pink, red or cola-colored. Red blood cells cause the urine to change color. It takes only a small amount of blood to turn urine red."
928,Migraine,"Learning about migraine disorder can be intimidating. Amaal Starling, M.D., a neurologist at Mayo Clinic, walks you through the facts, the questions, and the answers to help you better understand this condition.","Constipation.Mood changes, from depression to euphoria.Food cravings.Neck stiffness.Increased urination.Fluid retention.Frequent yawning.","Migraines, which affect children and teenagers as well as adults, can progress through four stages: prodrome, aura, attack and post-drome. Not everyone who has migraines goes through all stages."
929,Mild cognitive impairment (MCI),"Mild cognitive impairment (MCI) is the stage between the expected decline in memory and thinking that happens with age and the more serious decline of dementia. MCI may include problems with memory, language or judgment.","You forget things more often.You miss appointments or social events.You lose your train of thought. Or you can't follow the plot of a book or movie.You have trouble following a conversation.You find it hard to make decisions, finish a task or follow instructions.You start to have trouble finding your way around places you know well.You begin to have poor judgment.Your family and friends notice any of these changes.","The brain, like the rest of the body, changes with age. Many people notice they become more forgetful as they age. It may take longer to think of a word or to recall a person's name."
930,Miscarriage,Miscarriage is the spontaneous loss of a pregnancy before the 20th week. About 10 to 20 percent of known pregnancies end in miscarriage. But the actual number is likely higher because many miscarriages occur very early in pregnancy — before you might even know about a pregnancy.,Vaginal spotting or bleedingPain or cramping in your abdomen or lower backFluid or tissue passing from your vagina,Most miscarriages occur before the 12th week of pregnancy.
931,Mitral valve disease,"The mitral valve separates the two chambers of the left side of the heart. In mitral valve prolapse, the valve flaps bulge into the upper left chamber during each heartbeat. Mitral valve prolapse can cause blood to leak backward, a condition called mitral valve regurgitation.",FatigueIrregular heart sound (heart murmur)Irregular heartbeatShortness of breath,"Some people with mitral valve disease might not have symptoms for many years, if at all."
932,Mitral valve regurgitation,"Mitral valve regurgitation is a type of heart valve disease in which the valve between the left heart chambers doesn't close completely, allowing blood to leak backward across the valve. It is the most common type of heart valve disease (valvular heart disease). If the leakage is severe, not enough blood will move through the heart or to the rest of the body. As a result, mitral valve regurgitation can make you feel very tired (fatigued) or short of breath.","Sound of blood flow across the valve (heart murmur)Irregular heartbeat (arrhythmia)Shortness of breath (dyspnea), especially when lying downSensation of a rapid, pounding or fluttering heartbeat (palpitations)Swollen feet or ankles (edema)",Mitral valve regurgitation is often mild and progresses slowly. Some people with mitral valve regurgitation might not have symptoms for many years.
933,Mitral valve stenosis,"Mitral valve stenosis, shown in the heart on the right, is a condition in which the heart's mitral valve is narrowed. The valve doesn't open properly, blocking blood flow coming into the left ventricle, the main pumping chamber of the heart. A typical heart is shown on the left.","Shortness of breath, especially with activity or when you lie downFatigue, especially during increased activitySwollen feet or legsSensations of a fast, fluttering or pounding heartbeatDizziness or faintingIrregular heart sound, also called a heart murmurFluid buildup in the lungsIrregular heart rhythmsChest discomfort or chest painCoughing up blood","Mitral valve stenosis usually worsens slowly. You may not have any symptoms, or you may have mild ones for many years. Symptoms of mitral valve stenosis can occur at any age — even during childhood."
934,Mittelschmerz,"The ovaries, fallopian tubes, uterus, cervix and vagina (vaginal canal) make up the female reproductive system.","On one side of your lower abdomenDull and achy, similar to menstrual crampsSharp and suddenAccompanied by slight vaginal bleeding or dischargeRarely, severe","Mittelschmerz pain usually lasts a few minutes to a few hours, but it may continue for as long as a day or two. Pain from mittelschmerz may be:"
935,Molar pregnancy,A molar pregnancy is a rare complication of pregnancy. It involves unusual growth of cells called trophoblasts. These cells typically become the organ that feeds a growing fetus. That organ also is known as the placenta.,Dark brown to bright red bleeding from the vagina during the first three monthsSevere nausea and vomitingSometimes grapelike cysts that pass from the vaginaPelvic pressure or pain,"During a molar pregnancy, the placenta doesn't form typically. It can look like a mass of cysts. The fetus either doesn't form or doesn't form regularly and can't survive."
936,Moles,"Moles are usually harmless. They may contain hairs or become raised or wrinkled. Talk to your doctor about any change in the color or size of a mole or if itching, pain, bleeding or inflammation develops.","Color and texture.Moles can be brown, tan, black, blue, red or pink. They can be smooth, wrinkled, flat or raised. They may have hair growing from them.Shape.Most moles are oval or round.Size.Moles are usually less than 1/4 inch (about 6 millimeters) in diameter — the size of a pencil eraser. Those present at birth (congenital nevi) can be bigger than usual, covering part of the face, torso or a limb.","The typical mole is a small brown spot. But moles come in different colors, shapes and sizes:"
937,Monoclonal gammopathy of undetermined significance (MGUS),Monoclonal gammopathy of undetermined significance (MGUS) is a condition in which an atypical protein is found in the blood. The protein is called monoclonal protein or M protein.,Age.The average age at diagnosis is 70 years.Race.Africans and Black Americans are more likely to getMGUSthan white people are.Sex.MGUSis more common in men.Family history.Having family members withMGUSmight increase the risk.,"People with monoclonal gammopathy often don't have symptoms. Some people have a rash or nerve problems, such as numbness or tingling. A blood test for another condition might find MGUS by chance."
938,Mood disorders,"If you have a mood disorder, your general emotional state or mood is distorted or inconsistent with your circumstances and interferes with your ability to function. You may be extremely sad, empty or irritable (depressed), or you may have periods of depression alternating with being excessively happy (mania).",,
939,Morning sickness,"Morning sickness is feeling like throwing up, also called nausea, and throwing up, also called vomiting, that occurs during pregnancy. Despite its name, morning sickness can strike at any time of the day or night.",You produce no urine or only a little urine that's a dark colorYou can't keep liquids downYou feel dizzy or faint when you stand upYour heart races,"Nausea, with or without vomiting, is common in pregnancy. Morning sickness is often brought on by smelling certain odors or eating certain foods."
940,Morphea,Morphea is a rare skin condition characterized by small red or purple patches that develop firm white or ivory centers. The affected skin becomes tight and less flexible.,"Reddish or purplish oval patches of skin, often on the belly, chest or backPatches that gradually develop a lighter or whitish centerLinear patches, especially on the arms or legs and possibly the forehead or scalpA gradual change in the affected skin, which becomes firm, thickened, dry and shiny",Signs and symptoms of morphea vary depending on the type and stage of the condition. They include:
941,Morton's neuroma,"Morton's neuroma involves a thickening of the tissue around one of the nerves leading to your toes. This can cause a sharp, burning pain in the ball of your foot. You may have stinging, burning or numbness in the affected toes.
",A feeling as if you're standing on a pebble in your shoeA burning pain in the ball of your foot that may radiate into your toesTingling or numbness in your toes,"Typically, there's no outward sign of this condition, such as a lump. Instead, you may experience the following symptoms:"
942,Mosquito bites,"Mosquito bites are the itchy bumps that form on the skin after mosquitoes feed on your blood. The bumps usually go away without treatment in a few days. Some mosquito bites may get very swollen, sore and inflamed. This type of reaction, sometimes called skeeter syndrome, is most common in children.","An itchy, inflamed bump that forms a few minutes after a biteA painful spot that looks like a hive and forms within 24 hours after a biteSmall blisters",Mosquito bites often happen on parts of the body that aren't covered by clothing. Symptoms include:
943,Mouth cancer,"Learn more about mouth cancer, also called oral cancer, from oncologist Katharine Price, M.D.",A lip or mouth sore that doesn't healA white or reddish patch on the inside of your mouthLoose teethA growth or lump inside your mouthMouth painEar painDifficult or painful swallowing,Signs and symptoms of mouth cancer may include:
944,Movement disorders,The term movement disorders refers to a group of nervous system (neurological) conditions that cause either increased movements or reduced or slow movements. These movements may be voluntary or involuntary.,,
945,Moyamoya disease,"In moyamoya disease, arteries to your brain become narrow and may even close, leading to reduced delivery of oxygen-rich blood to your brain. This lack of blood flow to the brain can cause a stroke and other symptoms.",,
946,Multiple sclerosis,"Learn more from neurologist Oliver Tobin, M.B., B.Ch., B.A.O., Ph.D.","Numbness or weakness in one or more limbs that typically occurs on one side of your body at a timeTinglingElectric-shock sensations that occur with certain neck movements, especially bending the neck forward (Lhermitte sign)Lack of coordinationUnsteady gait or inability to walkPartial or complete loss of vision, usually in one eye at a time, often with pain during eye movementProlonged double visionBlurry visionVertigoProblems with sexual, bowel and bladder functionFatigueSlurred speechCognitive problemsMood disturbances","In multiple sclerosis, the protective coating on nerve fibers (myelin) in the central nervous system is damaged. This creates a lesion that, depending on the location in the central nervous system, may cause symptoms such as numbness, pain or tingling in parts of the body."
947,Multiple system atrophy (MSA),"Multiple system atrophy (MSA) is a rare, degenerative neurological disorder affecting your body's involuntary (autonomic) functions, including blood pressure, and motor control.",Stiff musclesDifficulty bending your arms and legsSlow movement (bradykinesia)Tremors can occur at rest or when moving your arms or legsSoft voiceProblems with posture and balance,"Multiple system atrophy (MSA) affects many parts of your body. Symptoms usually start in adulthood, usually in the 50s or 60s."
948,Kawasaki disease,"Kawasaki disease causes swelling (inflammation) in children in the walls of small to medium-sized blood vessels that carry blood throughout the body. Kawasaki disease commonly leads to inflammation of the coronary arteries, which supply oxygen-rich blood to the heart.","A rash on the main part of the body or in the genital areaAn enlarged lymph node in the neckExtremely red eyes without a thick dischargeRed, dry, cracked lips and an extremely red, swollen tongueSwollen, red skin on the palms of the hands and the soles of the feet, with later peeling of skin on fingers and toes","To receive a diagnosis of Kawasaki disease, a child usually will have a fever greater than 102.2 F (39 C) for five or more days and at least four of the following signs and symptoms."
949,"Multiple endocrine neoplasia, type 1 (MEN 1)","Multiple endocrine neoplasia, type 1 (MEN 1), sometimes called Wermer's syndrome, is a rare disorder that causes tumors in the endocrine glands and parts of the small intestine and stomach. In MEN 1, the endocrine glands — usually the parathyroids, pancreas and pituitary — grow tumors and release excessive amounts of hormones that can lead to disease. However, the tumors are usually noncancerous (benign).",TirednessBone painBroken bonesKidney stonesUlcers in the stomach or intestines,Signs and symptoms of MEN 1 include the following:
950,"Multiple endocrine neoplasia, type 1 (MEN 1)","Multiple endocrine neoplasia, type 1 (MEN 1), sometimes called Wermer's syndrome, is a rare disorder that causes tumors in the endocrine glands and parts of the small intestine and stomach. In MEN 1, the endocrine glands — usually the parathyroids, pancreas and pituitary — grow tumors and release excessive amounts of hormones that can lead to disease. However, the tumors are usually noncancerous (benign).",TirednessBone painBroken bonesKidney stonesUlcers in the stomach or intestines,Signs and symptoms of MEN 1 include the following:
951,"Multiple endocrine neoplasia, type 2 (MEN 2)","Multiple endocrine neoplasia, type 2, also called MEN 2, is a rare condition. It causes tumors in the thyroid and parathyroid glands, adrenal glands, lips, mouth, eyes and digestive tract. Genetic testing can find the changed gene that causes MEN 2. Health care providers can treat the health issues that gene may cause.",Lumps in the throat or neckTrouble breathing or swallowingHoarsenessDiarrhea,"People with MEN 2B have tumors of nerves in the lips, mouth, eyes and digestive tract. They also may have a tumor on the adrenal gland, called pheochromocytoma, and medullary thyroid cancer."
952,Multiple myeloma,Multiple myeloma is a cancer that forms in a type of white blood cell called a plasma cell. Healthy plasma cells help you fight infections by making antibodies that recognize and attack germs.,"Bone pain, especially in your spine or chestNauseaConstipationLoss of appetiteMental fogginess or confusionFatigueFrequent infectionsWeight lossWeakness or numbness in your legsExcessive thirst","Signs and symptoms of multiple myeloma can vary and, early in the disease, there may be none."
953,Multiple sclerosis,"Learn more from neurologist Oliver Tobin, M.B., B.Ch., B.A.O., Ph.D.","Numbness or weakness in one or more limbs that typically occurs on one side of your body at a timeTinglingElectric-shock sensations that occur with certain neck movements, especially bending the neck forward (Lhermitte sign)Lack of coordinationUnsteady gait or inability to walkPartial or complete loss of vision, usually in one eye at a time, often with pain during eye movementProlonged double visionBlurry visionVertigoProblems with sexual, bowel and bladder functionFatigueSlurred speechCognitive problemsMood disturbances","In multiple sclerosis, the protective coating on nerve fibers (myelin) in the central nervous system is damaged. This creates a lesion that, depending on the location in the central nervous system, may cause symptoms such as numbness, pain or tingling in parts of the body."
954,Multiple system atrophy (MSA),"Multiple system atrophy (MSA) is a rare, degenerative neurological disorder affecting your body's involuntary (autonomic) functions, including blood pressure, and motor control.",Stiff musclesDifficulty bending your arms and legsSlow movement (bradykinesia)Tremors can occur at rest or when moving your arms or legsSoft voiceProblems with posture and balance,"Multiple system atrophy (MSA) affects many parts of your body. Symptoms usually start in adulthood, usually in the 50s or 60s."
955,Multisystem inflammatory syndrome in children (MIS-C),"Multisystem inflammatory syndrome in children (MIS-C) is a group of symptoms linked to swollen, called inflamed, organs or tissues. People with MIS-C need care in the hospital.","Either hadCOVID-19or has a close contact who hadCOVID-19in the 2 months before hospitalization.Has a fever.Has a blood test result that shows a high level of inflammation throughout the body, called systemic inflammation.Has at least two of the following symptoms:Heart problems.Red, bloodshot eyes.Redness or swelling of the lips and tongue.Redness or swelling of the hands or feet.Pain in the belly, vomiting or diarrhea.Problems with blood clotting.Shock.","The symptoms of MIS-C are serious and are treated in the hospital. Not all kids have the same symptoms. But if no other diagnosis fits, health care professionals may diagnose MIS-C if a child:"
956,Muscle cramp,"A muscle cramp is a sudden, unexpected tightening of one or more muscles. Sometimes called a charley horse, a muscle cramp can be very painful. Exercising or working hard, especially in heat, can lead to muscle cramps. Some medicines and illnesses also might cause muscle cramps.","Cause severe discomfort.Have leg swelling, redness or skin changes.Come with muscle weakness.Happen often.Don't get better with self-care.","Muscle cramps occur mostly in leg muscles, most often in the calf. Cramps usually last for seconds to minutes. After the cramp eases, the area might be sore for hours or days."
957,Muscle strains,"A muscle strain is an injury to a muscle or a tendon — the fibrous tissue that connects muscles to bones. Minor injuries may only overstretch a muscle or tendon, while more severe injuries may involve partial or complete tears in these tissues.",Pain or tendernessRedness or bruisingLimited motionMuscle spasmsSwellingMuscle weakness,"Signs and symptoms will vary, depending on the severity of the injury, and may include:"
958,Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS),Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a complicated disorder.,Extreme exhaustion after physical or mental exercise.Problems with memory or thinking skills.Dizziness that worsens with moving from lying down or sitting to standing.Muscle or joint pain.Unrefreshing sleep.,"Symptoms of ME/CFS can vary from person to person, and the severity of symptoms can fluctuate from day to day. In addition to fatigue, symptoms may include:"
959,Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS),Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a complicated disorder.,Extreme exhaustion after physical or mental exercise.Problems with memory or thinking skills.Dizziness that worsens with moving from lying down or sitting to standing.Muscle or joint pain.Unrefreshing sleep.,"Symptoms of ME/CFS can vary from person to person, and the severity of symptoms can fluctuate from day to day. In addition to fatigue, symptoms may include:"
960,Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS),Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a complicated disorder.,Extreme exhaustion after physical or mental exercise.Problems with memory or thinking skills.Dizziness that worsens with moving from lying down or sitting to standing.Muscle or joint pain.Unrefreshing sleep.,"Symptoms of ME/CFS can vary from person to person, and the severity of symptoms can fluctuate from day to day. In addition to fatigue, symptoms may include:"
961,Myasthenia gravis,Myasthenia gravis (my-us-THEE-nee-uh GRAY-vis) causes muscles under your voluntary control to feel weak and get tired quickly. This happens when the communication between nerves and muscles breaks down.,"Drooping of one or both eyelids, called ptosis.Double vision, called diplopia, which may be horizontal or vertical, and improves or resolves when one eye is closed.","Muscle weakness caused by myasthenia gravis gets worse when the affected muscle is used. Because symptoms usually get better with rest, muscle weakness can come and go. However, the symptoms tend to progress over time. They usually reach their worst within a few years after the disease begins."
